batch,dpi,VL
1,0,1.65E+02
1,1,3.40E+03
1,2,3.69E+07
1,3,2.20E+08
1,4,2.10E+08
1,5,2.67E+07
1,6,6.61E+06
1,7,7.26E+05
2,0,1.02E+02
2,1,1.53E+02
2,2,8.39E+06
2,3,9.34E+07
2,4,2.93E+08
2,5,1.85E+07
2,6,6.54E+05
2,7,1.43E+05
3,0,1.31E+02
3,1,4.56E+02
3,2,4.74E+07
3,3,8.08E+07
3,4,2.01E+08
3,5,2.17E+07
3,6,1.36E+06
3,7,9.15E+04
4,0,1.29E+02
4,1,1.72E+03
4,2,1.61E+07
4,3,1.08E+08
4,4,1.61E+08
4,5,6.88E+06
4,6,1.40E+06
4,7,7.15E+04
5,0,8.68E+01
5,1,1.83E+03
5,2,8.20E+06
5,3,1.64E+08
5,4,7.10E+07
5,5,7.11E+06
5,6,5.97E+05
5,7,1.62E+05
