batch,dpi,VL,Survival_rate
1,0,7.31E+03,96.00%
1,1,1.03E+04,92.71%
1,2,4.03E+03,98.88%
1,3,2.62E+07,96.59%
1,4,4.50E+06,100.00%
1,5,9.11E+06,100.00%
1,6,4.64E+06,100.00%
1,7,3.55E+06,100.00%
2,0,9.10E+02,100.00%
2,1,9.40E+02,80.95%
2,2,4.15E+08,97.65%
2,3,8.86E+08,91.57%
2,4,1.09E+09,100.00%
2,5,1.20E+07,100.00%
2,6,5.10E+06,100.00%
2,7,3.55E+05,100.00%
3,0,7.52E+01,96.36%
3,1,6.95E+01,76.42%
3,2,6.83E+07,98.77%
3,3,7.48E+07,100.00%
3,4,3.96E+08,100.00%
3,5,5.49E+06,100.00%
3,6,4.87E+06,100.00%
3,7,1.35E+04,100.00%
4,0,9.97E+01,88.35%
4,1,4.53E+02,98.90%
4,2,7.80E+02,100.00%
4,3,1.45E+07,98.89%
4,4,2.49E+07,100.00%
4,5,1.44E+06,100.00%
4,6,1.25E+05,100.00%
4,7,1.31E+03,100.00%
5,0,1.16E+02,85.00%
5,1,4.35E+03,90.59%
5,2,4.89E+06,97.40%
5,3,1.98E+07,100.00%
5,4,5.13E+06,100.00%
5,5,7.81E+06,100.00%
5,6,1.43E+05,100.00%
5,7,4.31E+04,100.00%
